step,actic loss,critic loss,average distance,time
1940,-0.4242,0.6032,3.6502,0min0sec
1950,-0.4221,0.6005,3.6467,0min0sec
1960,-0.4201,0.5979,3.6434,0min0sec
1970,-0.4182,0.5953,3.6402,0min0sec
1980,-0.4162,0.5927,3.6369,0min0sec
1990,-0.4143,0.5901,3.6336,0min0sec
2000,-0.4123,0.5875,3.6304,0min0sec
2010,-0.4104,0.5850,3.6272,0min0sec
2020,-0.4085,0.5825,3.6240,0min0sec
2030,-0.4066,0.5799,3.6209,0min0sec
2040,-0.4047,0.5775,3.6178,0min0sec
2050,-0.4028,0.5750,3.6146,0min0sec
2060,-0.4010,0.5726,3.6116,0min0sec
2070,-0.3991,0.5702,3.6085,0min0sec
2080,-0.3973,0.5678,3.6056,0min0sec
2090,-0.3956,0.5655,3.6027,0min0sec
2100,-0.3938,0.5631,3.5997,0min0sec
2110,-0.3920,0.5608,3.5967,0min0sec
2120,-0.3902,0.5584,3.5937,0min0sec
2130,-0.3885,0.5561,3.5908,0min0sec
2140,-0.3868,0.5539,3.5880,0min0sec
2150,-0.3851,0.5516,3.5851,0min0sec
2160,-0.3834,0.5494,3.5823,0min0sec
2170,-0.3817,0.5472,3.5795,0min0sec
2180,-0.3801,0.5450,3.5767,0min0sec
2190,-0.3784,0.5428,3.5740,0min0sec
2200,-0.3768,0.5407,3.5713,0min0sec
2210,-0.3752,0.5386,3.5686,0min0sec
2220,-0.3736,0.5365,3.5659,0min0sec
2230,-0.3721,0.5344,3.5633,0min0sec
2240,-0.3705,0.5323,3.5606,0min0sec
2250,-0.3690,0.5302,3.5581,0min0sec
2260,-0.3674,0.5282,3.5555,0min0sec
2270,-0.3658,0.5262,3.5530,0min0sec
2280,-0.3643,0.5242,3.5504,0min0sec
2290,-0.3628,0.5222,3.5479,0min0sec
2300,-0.3614,0.5202,3.5454,0min0sec
2310,-0.3599,0.5183,3.5430,0min0sec
2320,-0.3584,0.5163,3.5405,0min0sec
2330,-0.3570,0.5144,3.5381,0min0sec
2340,-0.3555,0.5125,3.5357,0min0sec
2350,-0.3541,0.5106,3.5334,0min0sec
2360,-0.3527,0.5087,3.5309,0min0sec
2370,-0.3513,0.5068,3.5285,0min0sec
2380,-0.3498,0.5050,3.5262,0min0sec
2390,-0.3485,0.5031,3.5238,0min0sec
2400,-0.3471,0.5013,3.5216,0min0sec
2410,-0.3457,0.4994,3.5193,0min0sec
2420,-0.3444,0.4976,3.5170,0min0sec
2430,-0.3431,0.4958,3.5148,0min0sec
2440,-0.3418,0.4941,3.5126,0min0sec
2450,-0.3405,0.4924,3.5103,0min0sec
2460,-0.3392,0.4906,3.5081,0min0sec
2470,-0.3379,0.4888,3.5059,0min0sec
2480,-0.3366,0.4871,3.5038,0min0sec
2490,-0.3353,0.4854,3.5017,0min0sec
2500,-0.3341,0.4837,3.4996,0min0sec
2510,-0.3328,0.4820,3.4975,0min0sec
2520,-0.3316,0.4803,3.4954,0min0sec
2530,-0.3304,0.4787,3.4934,0min0sec
2540,-0.3292,0.4770,3.4913,0min0sec
2550,-0.3280,0.4754,3.4892,0min0sec
2560,-0.3267,0.4737,3.4872,0min0sec
2570,-0.3255,0.4721,3.4851,0min0sec
2580,-0.3243,0.4705,3.4831,0min0sec
2590,-0.3231,0.4689,3.4811,0min0sec
2600,-0.3220,0.4673,3.4791,0min0sec
2610,-0.3208,0.4658,3.4772,0min0sec
2620,-0.3196,0.4643,3.4752,0min0sec
2630,-0.3185,0.4627,3.4733,0min0sec
2640,-0.3173,0.4612,3.4713,0min0sec
2650,-0.3162,0.4596,3.4694,0min0sec
