step,actic loss,critic loss,average distance,time
1780,-0.2386,0.4724,3.4100,0min0sec
1790,-0.2374,0.4703,3.4064,0min0sec
1800,-0.2364,0.4681,3.4028,0min0sec
1810,-0.2353,0.4660,3.3993,0min0sec
1820,-0.2342,0.4639,3.3957,0min0sec
1830,-0.2331,0.4618,3.3922,0min0sec
1840,-0.2321,0.4598,3.3887,0min0sec
1850,-0.2311,0.4577,3.3852,0min0sec
1860,-0.2301,0.4557,3.3819,0min0sec
1870,-0.2291,0.4536,3.3785,0min0sec
1880,-0.2281,0.4516,3.3750,0min0sec
1890,-0.2271,0.4496,3.3716,0min0sec
1900,-0.2261,0.4476,3.3683,0min0sec
1910,-0.2251,0.4456,3.3650,0min0sec
1920,-0.2241,0.4437,3.3617,0min0sec
1930,-0.2231,0.4417,3.3584,0min0sec
1940,-0.2221,0.4398,3.3553,0min0sec
1950,-0.2211,0.4379,3.3521,0min0sec
1960,-0.2202,0.4361,3.3490,0min0sec
1970,-0.2192,0.4342,3.3459,0min0sec
1980,-0.2183,0.4324,3.3428,0min0sec
1990,-0.2174,0.4306,3.3398,0min0sec
2000,-0.2165,0.4288,3.3368,0min0sec
2010,-0.2155,0.4270,3.3338,0min0sec
2020,-0.2146,0.4253,3.3308,0min0sec
2030,-0.2137,0.4235,3.3278,0min0sec
2040,-0.2127,0.4217,3.3249,0min0sec
2050,-0.2119,0.4200,3.3219,0min0sec
2060,-0.2109,0.4183,3.3191,0min0sec
2070,-0.2100,0.4166,3.3162,0min0sec
2080,-0.2091,0.4149,3.3134,0min0sec
2090,-0.2083,0.4132,3.3105,0min0sec
2100,-0.2074,0.4116,3.3077,0min0sec
2110,-0.2066,0.4099,3.3049,0min0sec
2120,-0.2057,0.4082,3.3021,0min0sec
2130,-0.2049,0.4066,3.2994,0min0sec
2140,-0.2040,0.4050,3.2967,0min0sec
2150,-0.2032,0.4034,3.2940,0min0sec
2160,-0.2024,0.4018,3.2914,0min0sec
2170,-0.2016,0.4002,3.2887,0min0sec
2180,-0.2007,0.3986,3.2861,0min0sec
2190,-0.1999,0.3971,3.2835,0min0sec
2200,-0.1991,0.3955,3.2809,0min0sec
2210,-0.1984,0.3940,3.2784,0min0sec
2220,-0.1976,0.3925,3.2759,0min0sec
2230,-0.1968,0.3910,3.2734,0min0sec
2240,-0.1960,0.3895,3.2709,0min0sec
