步骤, 状态栈, 符号栈, 动作说明
112,0 1 3 4 12 21 22 7 75 8 34 36 64 71 ,# { DECLS STMTS while id do { STMTS id := EXPR ROP EXPR ,规约： EXPR->TERM 
113,0 1 3 4 12 21 22 7 75 8 34 44 ,# { DECLS STMTS while id do { STMTS id := REL ,规约： REL->EXPR ROP EXPR 
114,0 1 3 4 12 21 22 7 75 8 34 41 ,# { DECLS STMTS while id do { STMTS id := NOT ,规约： NOT->REL 
115,0 1 3 4 12 21 22 7 75 8 34 37 ,# { DECLS STMTS while id do { STMTS id := JOIN ,规约： JOIN->NOT 
116,0 1 3 4 12 21 22 7 75 8 34 46 ,# { DECLS STMTS while id do { STMTS id := BOOL ,规约： BOOL->JOIN 
117,0 1 3 4 12 21 22 7 75 8 34 46 48 ,# { DECLS STMTS while id do { STMTS id := BOOL ; ,移进
118,0 1 3 4 12 21 22 7 75 76 ,# { DECLS STMTS while id do { STMTS STMT ,规约： STMT->id := BOOL ; 
119,0 1 3 4 12 21 22 7 75 76 77 ,# { DECLS STMTS while id do { STMTS STMT } ,移进
120,0 1 3 4 12 21 22 23 ,# { DECLS STMTS while id do STMT ,规约： STMT->{ STMTS STMT } 
121,0 1 3 4 80 ,# { DECLS STMTS STMT ,规约： STMT->while id do STMT 
122,0 1 3 4 ,# { DECLS STMTS ,规约： STMTS->STMTS STMT 
123,0 1 3 4 10 ,# { DECLS STMTS write ,移进
124,0 1 3 4 10 29 ,# { DECLS STMTS write id ,移进
125,0 1 3 4 10 29 30 ,# { DECLS STMTS write id ; ,移进
126,0 1 3 4 80 ,# { DECLS STMTS STMT ,规约： STMT->write id ; 
127,0 1 3 4 ,# { DECLS STMTS ,规约： STMTS->STMTS STMT 
128,0 1 3 4 81 ,# { DECLS STMTS } ,移进
129,0 2 ,# PROG ,规约： PROG->{ DECLS STMTS } 
130,0 2 ,# PROG ,接受
