  ,&&,while,<,:=,=,+,),(,write,else,£¬,>,<=,id,},do,#,int,number,/,bool,!=,;,*,if,!,{,||,>=,then,==,-,read,PROG,FACTOR,NAME,REL,JOIN,Start,EXPR,DECL,BOOL,NOT,NEGA,TERM,MUL,DECLS,STMTS,STMT,ROP,ADD,NAMES
state 62,r23,error,r23,error,error,r23,r23,error,error,error,error,r23,r23,error,error,error,error,error,error,r23,error,r23,r23,r23,error,error,error,r23,r23,error,r23,r23,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 63,r28,error,r28,error,error,r28,r28,error,error,error,error,r28,r28,error,error,error,error,error,error,r28,error,r28,r28,r28,error,error,error,r28,r28,error,r28,r28,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 64,error,error,error,error,error,error,error,s40,error,error,error,error,error,s43,error,error,error,error,s45,error,error,error,error,error,error,error,error,error,error,error,error,s38,error,error,s47,error,error,error,error,s71,error,error,error,s42,s39,error,error,error,error,error,error,error
state 65,error,error,error,error,error,error,error,r42,error,error,error,error,error,r42,error,error,error,error,r42,error,error,error,error,error,error,error,error,error,error,error,error,r42,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 66,error,error,error,error,error,error,error,r44,error,error,error,error,error,r44,error,error,error,error,r44,error,error,error,error,error,error,error,error,error,error,error,error,r44,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 67,error,error,error,error,error,error,error,r40,error,error,error,error,error,r40,error,error,error,error,r40,error,error,error,error,error,error,error,error,error,error,error,error,r40,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 68,error,error,error,error,error,error,error,r41,error,error,error,error,error,r41,error,error,error,error,r41,error,error,error,error,error,error,error,error,error,error,error,error,r41,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 69,error,error,error,error,error,error,error,r43,error,error,error,error,error,r43,error,error,error,error,r43,error,error,error,error,error,error,error,error,error,error,error,error,r43,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 70,error,error,error,error,error,error,error,r39,error,error,error,error,error,r39,error,error,error,error,r39,error,error,error,error,error,error,error,error,error,error,error,error,r39,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 71,r38,error,error,error,error,s55,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r38,error,error,error,error,r38,error,error,error,s56,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s54,error
state 72,r37,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r37,error,error,error,error,r37,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 73,error,error,error,error,error,s55,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s74,error,error,error,error,error,error,error,error,s56,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s54,error
state 74,error,r11,error,error,error,error,error,error,r11,r11,error,error,error,r11,r11,error,error,error,error,error,error,error,error,error,r11,error,r11,error,error,error,error,error,r11,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 75,error,s12,error,error,error,error,error,error,s10,error,error,error,error,s8,error,error,error,error,error,error,error,error,error,error,s11,error,s7,error,error,error,error,error,s9,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s76,error,error,error
state 76,error,r9,error,error,error,error,error,error,r9,error,error,error,error,r9,s77,error,error,error,error,error,error,error,error,error,r9,error,r9,error,error,error,error,error,r9,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 77,error,r16,error,error,error,error,error,error,r16,r16,error,error,error,r16,r16,error,error,error,error,error,error,error,error,error,r16,error,r16,error,error,error,error,error,r16,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 78,error,error,error,error,error,error,error,error,error,error,s18,error,error,error,error,error,error,error,error,error,error,error,s79,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 79,error,r4,error,error,error,error,error,error,r4,error,error,error,error,r4,error,error,error,r4,error,error,r4,error,error,error,r4,error,r4,error,error,error,error,error,r4,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 80,error,r9,error,error,error,error,error,error,r9,error,error,error,error,r9,r9,error,error,error,error,error,error,error,error,error,r9,error,r9,error,error,error,error,error,r9,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 81,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r1,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
